peak_Q,lag_WSS_Q,lag_WSS_WL,Category
14965.73,-12.25,0.0,Medium
16160.39,1.25,5.5,Medium
17170.79,1.5,4.0,Medium
21221.79,-2.25,-7.75,High
12996.21,-12.0,-24.5,Medium
23948.88,11.5,17.5,High
38313.21,12.5,22.75,High
50228.62,12.0,18.75,Extreme
22119.81,1.5,-11.0,High
15971.52,-6.25,-18.75,Medium
15719.86,0.0,-12.5,Medium
12778.67,-6.75,-19.25,Medium
19815.14,12.5,13.25,Medium
17310.95,0.25,-12.25,Medium
19816.06,3.75,7.0,Medium
18348.41,1.0,-11.5,Medium
14388.86,-9.25,-21.75,Medium
12093.07,1.25,5.0,Medium
11318.03,1.0,-11.5,Medium
12797.56,3.5,7.0,Medium
11813.97,-4.75,-17.25,Medium
11447.45,3.5,7.25,Medium
31881.28,12.5,18.5,High
19163.08,12.5,0.0,Medium
17690.29,0.5,2.0,Medium
14681.36,-3.75,-16.25,Medium
12330.38,-12.25,-24.75,Medium
10618.99,4.25,15.0,Medium
14278.62,12.5,24.75,Medium
14211.85,6.5,8.5,Medium
14166.66,2.0,-10.5,Medium
14051.03,12.25,24.5,Medium
19325.74,12.5,21.25,Medium
53957.52,12.5,18.0,Extreme
34401.39,12.5,24.75,High
55175.29,9.25,13.75,Extreme
28381.22,-1.25,-13.75,High
27992.2,-11.25,-12.25,High
28882.21,1.5,2.75,High
21666.72,12.5,0.0,High
17359.56,11.75,-0.75,Medium
14996.09,-11.75,-24.25,Medium
16164.09,1.75,-0.75,Medium
15756.21,1.75,-10.75,Medium
14333.89,12.0,24.25,Medium
62979.02,12.5,21.0,Extreme
41585.36,-11.5,0.75,High
47093.02,6.5,9.25,High
23504.11,-0.25,-12.75,High
21740.09,12.25,-0.25,High
19406.32,12.5,0.0,Medium
20257.94,3.5,1.5,High
19706.14,-12.0,-24.5,Medium
26182.81,-0.5,-4.0,High
24857.98,12.5,0.0,High
24760.34,1.75,-10.75,High
24065.77,-11.5,-24.0,High
24940.12,0.5,-0.75,High
24602.09,-6.5,-19.0,High
24192.83,8.25,-4.25,High
14830.94,12.5,0.0,Medium
13375.06,12.5,0.0,Medium
12874.85,12.5,0.0,Medium
11555.04,0.25,-12.25,Medium
11064.49,12.5,0.0,Medium
10994.23,-12.0,-24.5,Medium
11171.97,-2.0,-14.5,Medium
10695.66,-11.5,-24.0,Medium
11088.25,0.5,-12.0,Medium
11289.43,2.0,-10.5,Medium
10228.04,-12.25,-24.75,Medium
28461.86,12.5,19.75,High
35243.49,11.75,18.75,High
11062.41,-12.25,-24.75,Medium
12113.7,2.75,5.5,Medium
11543.14,-10.75,-23.25,Medium
17063.29,-9.5,-14.0,Medium
11669.9,1.0,-11.5,Medium
10675.14,5.0,17.25,Medium
14336.92,4.75,17.0,Medium
19815.46,7.75,20.0,Medium
20439.57,4.0,9.25,High
48537.58,12.5,18.25,High
27819.86,12.5,0.0,High
12272.95,0.5,-12.0,Medium
15096.19,0.25,1.75,Medium
14126.14,12.5,0.0,Medium
12905.07,-2.25,-14.75,Medium
12054.63,-0.25,-12.75,Medium
11027.47,-11.75,-24.25,Medium
10892.45,-3.75,-16.25,Medium
5960.949,-0.5,-13.0,Low
5760.918,3.25,8.25,Low
4832.333,4.0,16.25,Mild
4841.969,0.75,0.0,Mild
7535.225,12.5,19.75,Low
7062.663,5.75,8.75,Low
4962.601,1.25,2.0,Mild
3958.864,-11.5,-24.0,Mild
4116.969,1.0,1.25,Mild
3635.612,2.25,-10.25,Mild
3387.309,1.5,5.0,Mild
3736.312,5.75,12.0,Mild
3881.578,4.0,7.5,Mild
3693.087,5.75,11.75,Mild
4514.232,6.5,9.0,Mild
3459.598,-11.5,-24.0,Mild
4416.949,12.25,24.5,Mild
4453.42,2.25,1.75,Mild
4234.959,1.75,-10.75,Mild
4091.394,5.75,13.0,Mild
2350.844,-2.0,-14.5,Mild
2637.338,8.5,20.75,Mild
3341.404,4.25,9.75,Mild
10376.78,8.0,15.5,Medium
40821.16,12.5,17.0,High
12906.58,-12.25,-24.75,Medium
35333.03,9.25,14.5,High
15077.87,0.75,-11.75,Medium
